,,Bellissimo,Bloop,Igloo,Kwality,Lovello,Polar,Savoy,Za N Zee
,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bellissimo,0.0,0.4025974025974026,0.012987012987012988,0.2077922077922078,0.012987012987012988,0.0,0.16883116883116883,0.18181818181818182,0.012987012987012988
Bloop,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Igloo,0.0,0.36666666666666664,0.016666666666666666,0.45,0.016666666666666666,0.0,0.05,0.06666666666666667,0.03333333333333333
Kwality,0.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0
Lovello,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
Polar,0.0,0.391304347826087,0.021739130434782608,0.1956521739130435,0.021739130434782608,0.021739130434782608,0.2608695652173913,0.06521739130434782,0.021739130434782608
Savoy,0.0,0.44,0.04,0.08,0.0,0.0,0.04,0.4,0.0
Za N Zee,0.0,0.25,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.5
